Time (s),Chan.4 - Raw (mV),Chan.8 - Raw (mV)
0,-6381.6,-3041.7
0.5,-6381.6,-2895.4
1,-6042.7,-2895.4
1.5,-6042.7,-2741.7
2,-5721.6,-2741.7
2.5,-5721.6,-2597.2
3,-5432.3,-2597.2
3.5,-5432.3,-2462.3
4,-5133.3,-2462.3
4.5,-5133.3,-2325
5,-4852.8,-2325
5.5,-4852.8,-2218.4
6,-4595.8,-2218.4
6.5,-4595.8,-2056.4
7,-4347.5,-2056.4
7.5,-4111.4,-1918.6
8,-4111.4,-1918.6
8.5,-3889.7,-1793.3
9,-3889.7,-1793.3
9.5,-3680.2,-1671
10,-3680.2,-1549.8
10.5,-3467.9,-1549.8
11,-3467.9,-1427.6
11.5,-3272.1,-1427.6
12,-3272.1,-1307.2
12.5,-3042,-1307.2
13,-3042,-1189.3
13.5,-2896.1,-1189.3
14,-2896.1,-1080
14.5,-2718.9,-1080
15,-2718.9,-864.9
15.5,-2555.7,-864.9
16,-2555.7,-857.6
16.5,-2387.2,-857.6
17,-2387.2,-755
17.5,-2230.3,-755
18,-2230.3,-646.4
18.5,-2072.4,-646.4
19,-2072.4,-545.4
19.5,-1924,-545.4
20,-1782.8,-434.7
20.5,-1782.8,-434.7
21,-1644.6,-354.5
21.5,-1644.6,-247.1
22,-1444.6,-247.1
22.5,-1444.6,-147.1
23,-1380.4,-147.1
23.5,-1380.4,-60.1
24,-1252,-60.1
24.5,-1252,39.6
25,-1132.3,39.6
25.5,-1132.3,127.7
26,-1009.7,127.7
26.5,-1009.7,212.2
27,-892.4,212.2
27.5,-892.4,302.5
28,-790.5,302.5
28.5,-790.5,302.5
29,-675.6,302.5
29.5,-568.8,475
30,-568.8,475
30.5,-464.3,560.8
31,-464.3,560.8
31.5,-344.3,645.9
32,-344.3,645.9
32.5,-262.6,730.8
33,-262.6,808.6
33.5,-163.3,808.6
34,-163.3,886.8
34.5,-65.2,886.8
35,-65.2,965.8
35.5,16.9,965.8
36,16.9,1042.6
36.5,120.6,1042.6
37,120.6,1118.9
37.5,206,1118.9
38,206,1198.1
38.5,290.1,1198.1
39,290.1,1256.8
39.5,378.2,1256.8
40,451.1,1349.6
40.5,451.1,1349.6
41,544.6,1416.9
41.5,544.6,1416.9
42,626.5,1496.2
42.5,626.5,1496.2
43,711,1566.3
43.5,711,1621.1
44,783.5,1621.1
44.5,783.5,1709
45,858.2,1709
45.5,858.2,1781
46,910.9,1781
46.5,910.9,1847.8
47,1008.8,1847.8
47.5,1008.8,1920.7
48,1098.3,1920.7
48.5,1098.3,1991.5
49,1156.2,1991.5
49.5,1156.2,2051.6
50,1228.2,2051.6
50.5,1328.8,2116
51,1328.8,2116
51.5,1368,2183.3
52,1368,2183.3
52.5,1435.7,2251.3
53,1435.7,2320.3
53.5,1504.5,2320.3
54,1504.5,2361
54.5,1567.3,2361
55,1567.3,2443.4
55.5,1632.4,2443.4
56,1632.4,2507.5
56.5,1702,2507.5
57,1702,2566.8
57.5,1765.9,2566.8
58,1765.9,2630.1
58.5,1820.7,2630.1
59,1820.7,2699.1
59.5,1891.7,2699.1
60,1891.7,2749.6
60.5,1958.9,2749.6
61,2008.6,2812.8
61.5,2008.6,2812.8
62,2073.7,2869.7
62.5,2073.7,2869.7
63,2126.4,3009.7
63.5,2126.4,3009.7
64,2191.5,3009.7
64.5,2191.5,3009.7
65,2245.1,3009.7
65.5,2245.1,-3367.1
66,2304.9,-3367.1
66.5,2304.9,-3834.8
67,2361,-3834.8
67.5,2361,-4250.6
68,2418.2,-4250.6
68.5,2418.2,-4585.6
69,2472.8,-4585.6
69.5,2472.8,-4891.7
70,2550.8,-4891.7
70.5,2550.8,-5234.5
71,2550.8,-5234.5
71.5,2550.8,-5470.5
72,2550.8,-5470.5
72.5,-29647.9,-5534.9
73,-29647.9,-5534.9
73.5,-25532.9,-5675.2
74,-25532.9,-5675.2
74.5,-22435.5,-5954.5
75,-22435.5,-5954.5
75.5,-19916.1,-5978.2
76,-19916.1,-5978.2
76.5,-17827,-5832.6
77,-17827,-5832.6
77.5,-16094.1,-5719.7
78,-16094.1,-5719.7
78.5,-14670.5,-5579
79,-14670.5,-5436.2
79.5,-13539,-5436.2
80,-13539,-5269.8
80.5,-12735.1,-5269.8
81,-12735.1,-5124
81.5,-12214.1,-5124
82,-12214.1,-4959.9
82.5,-11627,-4959.9
83,-11627,-4801.6
83.5,-11365,-4801.6
84,-11365,-4628.5
84.5,-10962.6,-4628.5
85,-10411.6,-4488.1
85.5,-10411.6,-4488.1
86,-9874.1,-4301.7
86.5,-9874.1,-4301.7
87,-9357.6,-4138.8
87.5,-9357.6,-4138.8
88,-8844.6,-3972.8
88.5,-8844.6,-3813.3
89,-8375.5,-3813.3
89.5,-8375.5,-3661.4
90,-7925.6,-3661.4
90.5,-7925.6,-3494.8
91,-7500.1,-3494.8
91.5,-7500.1,-3335.8
92,-7097,-3335.8
92.5,-7097,-3185.1
93,-6732.7,-3185.1
93.5,-6732.7,-3032.7
94,-6381.7,-3032.7
94.5,-6381.7,-2882.8
95,-6039.6,-2882.8
95.5,-5725.6,-2740.7
96,-5725.6,-2740.7
96.5,-5416.4,-2592.2
97,-5416.4,-2592.2
97.5,-5141,-2456.7
98,-5141,-2456.7
98.5,-4865.4,-2321.6
99,-4865.4,-2321.6
99.5,-4605.3,-2189.7
100,-4605.3,-2055.1
100.5,-4355.9,-2055.1
101,-4355.9,-1920.7
101.5,-4121.8,-1920.7
102,-4121.8,-1794.9
102.5,-3894.2,-1794.9
103,-3894.2,-1665
103.5,-3680.5,-1665
104,-3680.5,-1545.3
104.5,-3470.3,-1545.3
105,-3470.3,-1422.7
105.5,-3274.1,-1422.7
106,-3092.7,-1307
106.5,-3092.7,-1307
107,-2901.6,-1203.7
107.5,-2901.6,-1203.7
108,-2721.6,-1076
108.5,-2721.6,-1076
109,-2558.8,-782.6
109.5,-2558.8,-782.6
110,-2383.7,-855.5
110.5,-2383.7,-743.7
111,-2229.1,-743.7
111.5,-2229.1,-645.8
112,-2077,-645.8
112.5,-2077,-542.9
113,-1931.1,-542.9
113.5,-1931.1,-438.8
114,-1769.3,-438.8
114.5,-1769.3,-341
115,-1647.4,-341
115.5,-1647.4,-241.9
116,-1375.4,-241.9
116.5,-1384.2,-143.6
117,-1384.2,-143.6
117.5,-1259.7,-54.5
118,-1259.7,-54.5
118.5,-1134.9,45.5
119,-1134.9,45.5
119.5,-1014.2,128.4
120,-1014.2,128.4
120.5,-898.4,215.8
121,-898.4,305.3
121.5,-795.9,305.3
122,-795.9,404.3
122.5,-678.1,404.3
123,-678.1,480.1
123.5,-567.9,480.1
124,-567.9,566.8
124.5,-467,566.8
125,-467,646.4
125.5,-390.7,646.4
126,-390.7,732.7
126.5,-267.7,732.7
127,-168.8,802.1
127.5,-168.8,802.1
128,-77.7,888.7
128.5,-77.7,888.7
129,23,973.1
129.5,23,973.1
130,111.5,1050.2
130.5,111.5,1050.2
131,201.7,1125.4
131.5,201.7,1199.9
132,289.4,1199.9
132.5,289.4,1271.4
133,375,1271.4
133.5,375,1346.7
134,450.6,1346.7
134.5,450.6,1433.1
135,543.6,1433.1
135.5,543.6,1495.9
136,624.9,1495.9
136.5,624.9,1568.2
137,708,1568.2
137.5,778.2,1677.7
138,778.2,1677.7
138.5,854.7,1713.7
139,854.7,1713.7
139.5,938.5,1782.3
140,938.5,1782.3
140.5,1005.3,1848.8
141,1005.3,1848.8
141.5,1079.6,1918.5
142,1079.6,1988.9
142.5,1150.6,1988.9
143,1150.6,2055.3
143.5,1224.3,2055.3
144,1224.3,2121.3
144.5,1296.7,2121.3
145,1296.7,2193.8
145.5,1363.3,2193.8
146,1363.3,2252.5
146.5,1431,2252.5
147,1431,2316.3
147.5,1501.9,2316.3
148,1568.4,2364.5
148.5,1568.4,2364.5
149,1630.3,2442.5
149.5,1630.3,2442.5
150,1697.6,2508
150.5,1697.6,2508
151,1744.2,2567.4
151.5,1744.2,2567.4
152,1828.7,2628.3
152.5,1828.7,2628.3
153,1888.3,2691.7
153.5,1888.3,2751
154,1951.5,2751
154.5,1951.5,2811.4
155,2017.2,2811.4
155.5,2017.2,2866.2
156,2071.4,2866.2
156.5,2071.4,3028.4
157,2132,3028.4
157.5,2132,3028.4
158,2189.9,3028.4
158.5,2245.7,3028.4
159,2245.7,-3341.4
159.5,2308.5,-3341.4
160,2308.5,-3799.9
160.5,2359.9,-3799.9
161,2359.9,-4216.7
161.5,2415.2,-4216.7
162,2415.2,-4216.7
162.5,2474.3,-4573.8
163,2474.3,-4573.8
163.5,2596.4,-4861
164,2596.4,-4861
164.5,2596.4,-5211.9
165,2596.4,-5211.9
165.5,2596.4,-5432.9
166,-29699.4,-5497
166.5,-29699.4,-5497
167,-25614.5,-5657
167.5,-25614.5,-5657
168,-22417,-5930
168.5,-22417,-5930
169,-19864,-5928.9
169.5,-19864,-5928.9
170,-19864,-5824.3
170.5,-19864,-5824.3
171,-16083.9,-5684.4
171.5,-16083.9,-5684.4
172,-14660.1,-5549.6
