Time (s),high-1,high-2
0,2412.2,138.9
0.5,2412.2,228
1,2412.2,228
1.5,-16067,228
2,-16067,228
2.5,-16067,399.8
3,-15930.8,399.8
3.5,-15930.8,491.4
4,-15445.2,491.4
4.5,-15445.2,565.9
5,-14772.3,565.9
5.5,-14772.3,646.8
6,-13977.3,721.9
6.5,-13977.3,721.9
7,-13154,801.3
7.5,-13154,801.3
8,-12393.1,878.5
8.5,-12393.1,878.5
9,-11898.8,944.5
9.5,-11898.8,944.5
10,-11488.9,944.5
10.5,-11488.9,944.5
11,-11175.4,944.5
11.5,-11175.4,944.5
12,-10762.1,1170.1
12.5,-10762.1,1170.1
13,-10554.4,1239.1
13.5,-10336.9,1239.1
14,-10336.9,1292.2
14.5,-10336.9,1292.2
15,-10336.9,1292.2
15.5,-9435,1292.2
16,-9435,1448.1
16.5,-8973,1516.3
17,-8973,1516.3
17.5,-8515.7,1578.4
18,-8515.7,1578.4
18.5,-8086.7,1646.3
19,-8086.7,1646.3
19.5,-7676.2,1710.5
20,-7676.2,1710.5
20.5,-7298.5,1764.2
21,-7298.5,1764.2
21.5,-6932.7,1833.2
22,-6932.7,1833.2
22.5,-6573.6,1895.8
23,-6573.6,1895.8
23.5,-6243.7,1953.5
24,-5929.2,1953.5
24.5,-5929.2,2004.5
25,-5628.4,2004.5
25.5,-5628.4,2075.4
26,-5347.2,2149.6
26.5,-5347.2,2149.6
27,-5065.4,2194.9
27.5,-5065.4,2194.9
28,-4794,2252.9
28.5,-4794,2252.9
29,-4550.5,2310.1
29.5,-4550.5,2310.1
30,-4311.5,2366.2
30.5,-4311.5,2366.2
31,-4085.1,2422.5
31.5,-4085.1,2422.5
32,-3859.4,2473.8
32.5,-3859.4,2473.8
33,-3645.2,2569.8
33.5,-3645.2,2569.8
34,-3437.4,2569.8
34.5,-3437.4,2569.8
35,-3244,2569.8
35.5,-3025.9,-15421.7
36,-3025.9,-15421.7
36.5,-2869.1,-15307.8
37,-2869.1,-15307.8
37.5,-2689.1,-14861.5
38,-2689.1,-14861.5
38.5,-2517,-14208.9
39,-2517,-14208.9
39.5,-2350.5,-14208.9
40,-2350.5,-13496.7
40.5,-2198,-12763.8
41,-2198,-12763.8
41.5,-2036.1,-12147.9
42,-2036.1,-12147.9
42.5,-1892.5,-11644.4
43,-1892.5,-11644.4
43.5,-1751.7,-11193.5
44,-1751.7,-11193.5
44.5,-1605.6,-10880.7
45,-1605.6,-10880.7
45.5,-1390.5,-10536.7
46,-1390.5,-10536.7
46.5,-1335.1,-10360.1
47,-1213.9,-10360.1
47.5,-1213.9,-10088.1
48,-1084.6,-10088.1
48.5,-1084.6,-9598.7
49,-965.3,-9598.7
49.5,-965.3,-9132.5
50,-839.6,-9132.5
50.5,-839.6,-8665.1
51,-724.3,-8237.8
51.5,-724.3,-8237.8
52,-614.7,-7822.4
52.5,-614.7,-7822.4
53,-511.2,-7430.2
53.5,-511.2,-7430.2
54,-401.5,-7046.4
54.5,-401.5,-7046.4
55,-325,-6642.4
55.5,-325,-6642.4
56,-192.8,-6357.4
56.5,-192.8,-6357.4
57,-90.4,-6043.8
57.5,-90.4,-6043.8
58,11.3,-5734.5
58.5,94.7,-5734.5
59,94.7,-5448.4
59.5,196.3,-5448.4
60,196.3,-5170.9
60.5,287.7,-5170.9
61,287.7,-4897
61.5,383.8,-4897
62,383.8,-4639.9
62.5,476,-4400.9
63,476,-4400.9
63.5,561.1,-4167.6
64,561.1,-4167.6
64.5,661,-3945.1
65,661,-3945.1
65.5,733,-3730.3
66,733,-3730.3
66.5,807.1,-3533.1
67,807.1,-3533.1
67.5,897.4,-3334.8
68,897.4,-3334.8
68.5,980.5,-3143.5
69,1071.4,-3143.5
69.5,1071.4,-2948.3
70,1139.8,-2948.3
70.5,1139.8,-2791.5
71,1139.8,-2791.5
71.5,1139.8,-2619.4
72,1291,-2461.6
